"","year","group","product_id","product","group_id","import_val","export_val","trade_exchange_val","world_trade_val","rca","color","image"
"46",2014,"Animal Products","010103","Pigs","01",155246.84,2641742.33,2796989.17,4846858425.51,"0.12","#e8d58e","d3plus/icons/hs/hs_01.png"
"47",2014,"Animal Products","010104","Sheep and Goats","01",34349.15,NA,34349.15,1358061538.57,NA,"#e8d58e","d3plus/icons/hs/hs_01.png"
"48",2014,"Animal Products","010105","Poultry","01",4405837.78,NA,4405837.78,3217932434.97,NA,"#e8d58e","d3plus/icons/hs/hs_01.png"
"49",2014,"Animal Products","010106","Other Animals","01",1552168.4,2262677.4,3814845.8,1287846541.04,"0.4","#e8d58e","d3plus/icons/hs/hs_01.png"
"50",2014,"Animal Products","010201","Bovine Meat","01",811359611.75,8232323.87,819591935.62,22254452139.8,"0.08","#e8d58e","d3plus/icons/hs/hs_01.png"
"51",2014,"Animal Products","010202","Frozen Bovine Meat","01",51836559.92,6813520.05,58650079.97,21925540826.3,"0.07","#e8d58e","d3plus/icons/hs/hs_01.png"
"52",2014,"Animal Products","010203","Pig Meat","01",110745826.43,454016901.13,564762727.56,30850326320.1,"3.36","#e8d58e","d3plus/icons/hs/hs_01.png"
"53",2014,"Animal Products","010204","Sheep and Goat Meat","01",1180923,39765126.08,40946049.08,7164019394.5,"1.27","#e8d58e","d3plus/icons/hs/hs_01.png"
"55",2014,"Animal Products","010206","Edible Offal","01",3112087.03,51105381.16,54217468.19,7855610899.18,"1.48","#e8d58e","d3plus/icons/hs/hs_01.png"
"56",2014,"Animal Products","010207","Poultry Meat","01",158949392.16,287258788.12,446208180.28,27965248909,"2.34","#e8d58e","d3plus/icons/hs/hs_01.png"
"57",2014,"Animal Products","010208","Other Meat","01",55124,761759.47,816883.47,975673370.35,"0.18","#e8d58e","d3plus/icons/hs/hs_01.png"
"58",2014,"Animal Products","010209","Animal Fat","01",2239993.34,27078399.16,29318392.5,725204911.15,"8.51","#e8d58e","d3plus/icons/hs/hs_01.png"
"59",2014,"Animal Products","010210","Preserved Meat","01",8821859.73,21948165.79,30770025.52,5082812858.67,"0.98","#e8d58e","d3plus/icons/hs/hs_01.png"
"60",2014,"Animal Products","010301","Live Fish","01",2850057.12,171950.79,3022007.91,1842475902.63,"0.02","#e8d58e","d3plus/icons/hs/hs_01.png"
"61",2014,"Animal Products","010302","Non-fillet Fresh Fish","01",356584.66,567642209.26,567998793.92,16005362933.2,"8.09","#e8d58e","d3plus/icons/hs/hs_01.png"
"62",2014,"Animal Products","010303","Non-fillet Frozen Fish","01",3756153.95,1715877721.33,1719633875.28,23654397657.4,"16.54","#e8d58e","d3plus/icons/hs/hs_01.png"
