"","year","origin_id","destination_id","hs92_product_name","hs92_group_name","hs92_product_id","hs92_group_id","hs92_color","export_val","import_val","trade_exchange_val","origin_total_export_val","world_total_export_val","pci","rca","pci_rank","hs92_icon","top_importer","top_exporter"
"983",2014,"sachl","aschn","Air Pumps","Machines","8414","16","#17bcef",32398.31,55896219.46,55928617.77,20839698.55,75354218265.8,1.573,0,42,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"984",2014,"sachl","aschn","Air Conditioners","Machines","8415","16","#17bcef",NA,50601234.9,50601234.9,2586844.95,42019629878.3,1.058,NA,176,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"985",2014,"sachl","aschn","Liquid Fuel Furnaces","Machines","8416","16","#17bcef",NA,591673.77,591673.77,1648672.43,2845167032.36,0.925,NA,228,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"986",2014,"sachl","aschn","Industrial Furnaces","Machines","8417","16","#17bcef",NA,1547763.72,1547763.72,2430030.24,5378755267.22,0.576,NA,395,"d3plus-1.9.8/icons/hs92/hs92_16.png","Russia","China"
"987",2014,"sachl","aschn","Refrigerators","Machines","8418","16","#17bcef",7799,100643874.02,100651673.02,52585213.66,43251734754.5,0.572,0,397,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"988",2014,"sachl","aschn","Other Heating Machinery","Machines","8419","16","#17bcef",NA,31911490.63,31911490.63,30073313.47,40545600324.5,1.298,NA,105,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"989",2014,"sachl","aschn","Rolling Machines","Machines","8420","16","#17bcef",NA,192461.45,192461.45,255164,1377853023.8,1.328,NA,94,"d3plus-1.9.8/icons/hs92/hs92_16.png","China","Germany"
"990",2014,"sachl","aschn","Centrifuges","Machines","8421","16","#17bcef",NA,26395043.44,26395043.44,12397926.65,62997986639.7,1.327,NA,95,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"991",2014,"sachl","aschn","Washing and Bottling Machines","Machines","8422","16","#17bcef",NA,10492851.05,10492851.05,5365357.03,29280821073.7,1.33,NA,92,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"992",2014,"sachl","aschn","Scales","Machines","8423","16","#17bcef",NA,10013108.39,10013108.39,2946077.71,4161121815.71,1.155,NA,147,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
